town_code,region_code,ID Provincia,ID Municipio,name,population,census,votes,null_votes,blank_votes,scrutinized,Fecha
02075,07,02,075,Valdeganga,1928,1700,1478,13,8,100,Datos de las 22:09 del 24 de Mayo de 2015
02076,07,02,076,Vianos,389,343,298,4,2,100,Datos de las 21:48 del 24 de Mayo de 2015
02077,07,02,077,Villa de Ves,54,54,51,1,0,100,Datos de las 22:14 del 24 de Mayo de 2015
02078,07,02,078,Villalgordo del Júcar,1157,953,767,18,13,100,Datos de las 21:24 del 24 de Mayo de 2015
02079,07,02,079,Villamalea,4148,2957,2357,60,38,100,Datos de las 22:21 del 24 de Mayo de 2015
02080,07,02,080,Villapalacios,624,538,482,7,8,100,Datos de las 22:57 del 24 de Mayo de 2015
02081,07,02,081,Villarrobledo,26419,18567,13549,337,203,100,Datos de las 22:39 del 24 de Mayo de 2015
02082,07,02,082,Villatoya,112,107,86,3,2,100,Datos de las 20:51 del 24 de Mayo de 2015
02083,07,02,083,Villavaliente,249,220,191,4,4,100,Datos de las 21:51 del 24 de Mayo de 2015
02084,07,02,084,Villaverde de Guadalimar,381,333,270,1,5,100,Datos de las 21:39 del 24 de Mayo de 2015
02085,07,02,085,Viveros,310,331,282,7,4,100,Datos de las 21:21 del 24 de Mayo de 2015
02086,07,02,086,Yeste,2964,2648,1896,22,19,100,Datos de las 22:21 del 24 de Mayo de 2015
03001,17,03,001,Adsubia,627,488,399,7,2,100,Datos de las 22:27 del 24 de Mayo de 2015
03002,17,03,002,Agost,4752,3645,2677,88,40,100,Datos de las 22:42 del 24 de Mayo de 2015
03003,17,03,003,Agres,583,467,399,17,12,100,Datos de las 22:43 del 24 de Mayo de 2015
03004,17,03,004,Aigües,984,659,519,8,7,100,Datos de las 22:25 del 24 de Mayo de 2015
